City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band
City 1,-11.31,120.29,7.03,8.27,1237.97,11209.71,79.92,194.31,4.15,Equatorial
City 2,63.59,86.57,2.73,8.65,483.71,11958.74,70.55,161.78,3.49,Polar
City 3,35.16,-128.57,4.11,9.57,711.12,17112.71,74.91,262.47,4.11,Subtropical
City 4,17.83,91.23,5.74,3.41,1022.77,731.67,70.91,24.69,2.42,Tropical
City 5,-39.72,96.81,4.23,9.71,744.41,16869.46,71.6,243.03,4.1,Subtropical
City 6,-39.72,57.07,4.46,6.68,774.84,5929.75,73.83,90.15,3.18,Subtropical
City 7,-52.45,95.8,2.65,6.69,464.42,5393.29,71.56,82.95,2.89,Temperate
City 8,52.6,124.53,3.61,9.96,635.24,19694.96,79.64,317.09,4.26,Temperate
City 9,18.14,40.9,4.38,1.0,751.45,18.3,79.47,11.93,1.69,Tropical
City 10,32.05,-148.1,4.44,2.83,772.96,443.94,73.36,16.13,2.1,Subtropical
City 11,-57.32,-4.45,2.74,9.29,475.76,14867.84,76.4,229.73,3.81,Temperate
City 12,66.09,-152.05,2.69,10.81,468.17,23656.24,75.34,332.16,4.33,Polar
City 13,48.22,-33.28,3.64,7.9,645.81,9083.12,78.16,140.25,3.48,Temperate
City 14,-32.4,-33.44,4.03,3.29,704.46,683.33,76.27,20.28,2.19,Subtropical
City 15,-36.36,-156.24,3.96,5.59,710.82,3268.5,70.0,51.62,2.74,Subtropical
City 16,-36.16,-54.42,4.57,8.59,790.03,12258.58,77.63,195.74,3.86,Subtropical
City 17,-20.45,-140.04,5.53,7.5,962.93,7604.84,77.47,127.54,3.63,Tropical
City 18,8.22,110.96,6.14,4.78,1091.26,1981.52,75.1,42.04,2.88,Equatorial
City 19,-3.85,161.17,6.49,7.28,1138.79,7012.56,79.03,124.41,3.72,Equatorial
City 20,-22.14,-153.97,5.8,7.21,1017.42,7053.28,79.08,126.68,3.61,Tropical
City 21,19.54,163.84,5.37,4.09,916.33,1338.54,75.24,31.08,2.59,Tropical
City 22,-41.87,8.13,4.03,7.49,700.35,8294.27,76.08,131.35,3.4,Subtropical
City 23,-22.02,-72.16,6.54,2.69,1130.11,361.89,79.97,22.29,2.44,Tropical
City 24,-12.37,-152.33,5.42,4.97,975.93,2346.44,72.99,45.88,2.81,Equatorial
City 25,-0.71,0.22,6.02,6.85,1042.71,6283.17,73.25,99.67,3.45,Equatorial
City 26,42.07,106.03,4.45,9.92,795.27,18138.16,71.83,254.42,4.2,Subtropical
