Temp,Current,Pred_Voltage,Pred_Eff
60,800,2.0241000000000007,73.23720000000002
60,1000,2.0241000000000007,73.23720000000002
60,1200,2.0241000000000007,73.23720000000002
60,1500,2.0241000000000007,73.23720000000002
60,2000,2.0209,73.29230000000003
65,800,2.0234000000000005,73.25620000000002
65,1000,2.0234000000000005,73.25620000000002
65,1200,2.0234000000000005,73.25620000000002
65,1500,2.0234000000000005,73.25620000000002
65,2000,2.0202,73.31130000000002
70,800,2.0219000000000005,73.2878
70,1000,2.0219000000000005,73.2878
70,1200,2.0219000000000005,73.2878
70,1500,2.0219000000000005,73.2878
70,2000,2.0187,73.34290000000001
75,800,2.0196,73.30050000000001
75,1000,2.0196,73.30050000000001
75,1200,2.0196,73.30050000000001
75,1500,2.0194,73.30050000000001
75,2000,2.0151,73.42020000000001
80,800,2.0196,73.34000000000002
80,1000,2.0196,73.34000000000002
80,1200,2.0196,73.34000000000002
80,1500,2.0194,73.34470000000002
80,2000,2.0143,73.45990000000002
