,Operating_Temperature_C,Current_Density_mA_cm2,Cell_Voltage_V,Cathode_Pressure_bar,Anode_Pressure_bar,Anode_Catalyst_Loading_mg_cm2,Cathode_Catalyst_Loading_mg_cm2,Membrane_Thickness_um,Membrane_Water_Content_lambda,Water_Flow_Rate_mL_min,Water_Flow_Rate_L_min,Power_Density_W_cm2,H2_Production_Rate_mL_min,H2_Production_Rate_NL_h,Energy_Efficiency_percent
Operating_Temperature_C,1.0,0.001158250082072517,-0.04298379034897223,0.03102617617460959,-0.032600128328737286,0.0037073906874033717,0.011283199163984396,0.026809320860896716,-0.07959357061297354,-0.021914521528204906,-0.021916494980766147,-0.012285280968716478,0.0011585249266483407,0.0011564630462431362,0.04298223853332828
Current_Density_mA_cm2,0.001158250082072517,1.0,0.973966559509847,-0.0590239645382918,0.03547697254602708,0.005286999097178149,-0.003276956497114107,-0.02573133926472862,0.018760665986898576,0.8185925615784045,0.818590472077885,0.995602640006557,0.9999999999327277,0.9999999802230913,-0.9560836264412396
Cell_Voltage_V,-0.04298379034897223,0.973966559509847,1.0,-0.06503162310971548,0.044360477124949844,-0.006637177449782766,0.005248825796989161,-0.0100769397064156,0.006583606405767743,0.7862791788074314,0.7862770776017882,0.9725100916285973,0.9739667558543914,0.9739654450324496,-0.9904205513756557
Cathode_Pressure_bar,0.03102617617460959,-0.0590239645382918,-0.06503162310971548,1.0,-0.02965436672225578,0.039669476780162895,0.0020182637197625336,-0.07168989209079861,-0.03519971875812337,-0.07002230202284779,-0.07001752868874053,-0.05432716656407163,-0.059023116848750605,-0.05900901048213604,0.06959773710573225
Anode_Pressure_bar,-0.032600128328737286,0.03547697254602708,0.044360477124949844,-0.02965436672225578,1.0,0.03669044091801231,-0.027526221175370735,-0.010361802622106302,0.030004064716176542,0.018465417446258396,0.018471725664302024,0.044225787470144065,0.035477346527975726,0.035488664192205616,-0.0330309205865005
Anode_Catalyst_Loading_mg_cm2,0.0037073906874033717,0.005286999097178149,-0.006637177449782766,0.039669476780162895,0.03669044091801231,1.0,0.04834101567762824,0.004069657492791249,0.01541514388496561,0.01934700585837976,0.019346428946666137,0.007462713963404648,0.0052867747679317045,0.005290338589194035,0.013389480258601883
Cathode_Catalyst_Loading_mg_cm2,0.011283199163984396,-0.003276956497114107,0.005248825796989161,0.0020182637197625336,-0.027526221175370735,0.04834101567762824,1.0,-0.07736666324491269,-0.018959889230489312,0.020862185230205655,0.020869342746033654,-0.004612767137993089,-0.0032767879396945285,-0.0032830456593021776,-0.009511079147188125
Membrane_Thickness_um,0.026809320860896716,-0.02573133926472862,-0.0100769397064156,-0.07168989209079861,-0.010361802622106302,0.004069657492791249,-0.07736666324491269,1.0,0.026250226541831505,-0.02219344549695357,-0.022201781757505826,-0.02812605068306886,-0.02573155292845838,-0.025743816851701747,0.002917810692379587
Membrane_Water_Content_lambda,-0.07959357061297354,0.018760665986898576,0.006583606405767743,-0.03519971875812337,0.030004064716176542,0.01541514388496561,-0.018959889230489312,0.026250226541831505,1.0,0.022222157638786853,0.022223185316038,0.016574990841181678,0.01876121094371869,0.018751909524194026,-0.007219410102417777
Water_Flow_Rate_mL_min,-0.021914521528204906,0.8185925615784045,0.7862791788074314,-0.07002230202284779,0.018465417446258396,0.01934700585837976,0.020862185230205655,-0.02219344549695357,0.022222157638786853,1.0,0.999999994524762,0.8136924365010996,0.8185929469577538,0.8185934752277134,-0.7725496167200232
Water_Flow_Rate_L_min,-0.021916494980766147,0.818590472077885,0.7862770776017882,-0.07001752868874053,0.018471725664302024,0.019346428946666137,0.020869342746033654,-0.022201781757505826,0.022223185316038,0.999999994524762,1.0,0.8136906058536248,0.8185908575024377,0.8185913862155703,-0.7725474815352289
Power_Density_W_cm2,-0.012285280968716478,0.995602640006557,0.9725100916285973,-0.05432716656407163,0.044225787470144065,0.007462713963404648,-0.004612767137993089,-0.02812605068306886,0.016574990841181678,0.8136924365010996,0.8136906058536248,1.0,0.9956026548485146,0.995602562664331,-0.9434574539562038
H2_Production_Rate_mL_min,0.0011585249266483407,0.9999999999327277,0.9739667558543914,-0.059023116848750605,0.035477346527975726,0.0052867747679317045,-0.0032767879396945285,-0.02573155292845838,0.01876121094371869,0.8185929469577538,0.8185908575024377,0.9956026548485146,1.0,0.9999999801348962,-0.9560838611018725
H2_Production_Rate_NL_h,0.0011564630462431362,0.9999999802230913,0.9739654450324496,-0.05900901048213604,0.035488664192205616,0.005290338589194035,-0.0032830456593021776,-0.025743816851701747,0.018751909524194026,0.8185934752277134,0.8185913862155703,0.995602562664331,0.9999999801348962,1.0,-0.9560818558880153
Energy_Efficiency_percent,0.04298223853332828,-0.9560836264412396,-0.9904205513756557,0.06959773710573225,-0.0330309205865005,0.013389480258601883,-0.009511079147188125,0.002917810692379587,-0.007219410102417777,-0.7725496167200232,-0.7725474815352289,-0.9434574539562038,-0.9560838611018725,-0.9560818558880153,1.0
