Feature,Importance
Current_Density_mA_cm2,0.9722924506419071
Operating_Temperature_C,0.005506100661096341
Anode_Pressure_bar,0.002386535028276863
Temp_x_CurrentDensity,0.00236425910835576
CurrentDensity_per_MembraneThickness,0.0020511454375919387
Membrane_Thickness_um,0.0019317050568147796
Cathode_Catalyst_Efficiency,0.001781842367611182
Anode_Catalyst_Activity,0.0017657601538156628
Membrane_Resistance_Index,0.0015177193262628451
Membrane_Water_Content_lambda,0.0014173871973595167
Cathode_Pressure_bar,0.0013822977408155467
Anode_Catalyst_Loading_mg_cm2,0.0013164115874482868
Pressure_Differential,0.001267995644455533
Cathode_Catalyst_Loading_mg_cm2,0.001241285326912625
Total_Catalyst_Loading,0.0012085270422889521
Anode_Catalyst_Type_encoded,0.00040984725275261595
Membrane_Type_encoded,0.00015873042623463265
