Operating_Temperature_C,Current_Density_mA_cm2,Cell_Voltage_V,Cathode_Pressure_bar,Anode_Pressure_bar,Anode_Catalyst_Type,Anode_Catalyst_Loading_mg_cm2,Cathode_Catalyst_Type,Cathode_Catalyst_Loading_mg_cm2,Membrane_Type,Membrane_Thickness_um,Membrane_Water_Content_lambda,Water_Flow_Rate_mL_min,Water_Flow_Rate_L_min,Power_Density_W_cm2,H2_Production_Rate_mL_min,H2_Production_Rate_NL_h,Energy_Efficiency_percent,Temp_x_CurrentDensity,CurrentDensity_per_MembraneThickness,Pressure_Differential,Anode_Catalyst_Activity,Membrane_Resistance_Index,Power_per_Temperature,Cathode_Catalyst_Efficiency,Voltage_per_Temperature,Current_Efficiency,Total_Catalyst_Loading
55.45,3796.49,2.24,8.2,2.45,Ir_black,2.87,Pt/C,0.11,Nafion_117,174.28,16.58,66492.9,66.49,8.49,661.05,39.66,66.17,210515.3705,21.783853568969473,5.749999999999999,4.996871565805634,10.51145958986731,0.15311091073038774,0.9019999999999999,0.040396753832281335,0.17412135946624382,2.98
74.79,3028.51,1.96,21.3,2.22,IrRuOx,1.15,Pt/C,0.1,Nafion_115,131.1,18.06,35213.82,35.21,5.95,527.33,31.64,75.32,226502.26290000003,23.100762776506485,19.080000000000002,2.429442828491492,7.259136212624585,0.0795560903864153,2.1300000000000003,0.02620671212728974,0.17412192794476491,1.25
67.56,2154.79,1.86,20.26,2.54,IrO2,2.11,Pt/C,0.13,Nafion_212,49.81,22.37,44763.99,44.76,4.0,375.19,22.51,79.7,145577.6124,43.260188717125075,17.720000000000002,4.14659679113289,2.226642825212338,0.05920663114268798,2.6338000000000004,0.027531083481349913,0.1741190556852408,2.2399999999999998
63.49,4483.86,2.41,18.74,3.56,IrO2,1.57,Pt/C,0.29,Nafion_212,50.22,18.14,57708.87,57.71,10.8,780.73,46.84,61.45,284680.27139999997,89.28434886499402,15.179999999999998,2.9623285144266394,2.7684674751929434,0.17010552842967397,5.434599999999999,0.03795873365884391,0.1741200661929677,1.86
44.65,3725.99,2.25,4.83,2.18,IrO2,1.82,Pt/C,0.17,Nafion_117,180.37,23.28,66615.8,66.62,8.38,648.77,38.93,65.77,166365.45349999997,20.657481842878525,2.65,2.844355491351904,7.7478522336769755,0.1876819708846585,0.8211,0.0503919372900336,0.174120166720791,1.99
44.65,1610.83,1.79,12.09,1.83,IrO2,1.29,Pt/C,0.1,Nafion_117,179.25,19.11,23787.78,23.79,2.88,280.48,16.83,82.69,71923.55949999999,8.98649930264993,10.26,2.0160541669472285,9.379905808477238,0.064501679731243,1.209,0.04008958566629339,0.1741214156676993,1.3900000000000001
36.99,5259.75,2.5,11.34,3.14,IrO2,1.95,Pt/C,0.19,Nafion_212,53.58,16.71,89900.39,89.9,13.15,915.83,54.95,59.2,194558.1525,98.16629339305712,8.2,2.8228002044585656,3.2064631956912026,0.3555014868883482,2.1546,0.06758583400919167,0.174120442986834,2.14
71.42,4543.63,2.41,13.09,3.55,IrO2,1.53,Pt/C,0.06,Nafion_117,179.58,21.81,49834.14,49.83,10.93,791.14,47.47,61.5,324506.05460000003,25.30142554850206,9.54,3.1251045399234716,8.233837689133425,0.15303836460375245,0.7854,0.03374404928591431,0.17412069204578717,1.59
63.57,5693.55,2.5,6.97,1.63,IrRuOx,0.9,Pt/C,0.04,Nafion_117,174.4,18.95,48803.7,48.8,14.23,991.36,59.48,59.2,361938.9735,32.64650229357798,5.34,1.6995091674474694,9.203166226912929,0.22384772691521157,0.2788,0.03932672644329086,0.17411983735981945,0.9400000000000001
66.86,3946.23,2.17,24.76,1.98,IrO2,1.85,Pt/C,0.07,Nafion_117,178.03,20.43,90093.44,90.09,8.55,687.12,41.23,68.27,263844.9378,22.166095601864853,22.78,3.610281109895467,8.7141458639256,0.12787915046365542,1.7332000000000003,0.03245587795393359,0.17412061638576565,1.9200000000000002
