Metric,Value
Dataset Size,500 samples
Number of Features,18 original + 10 engineered = 28 total
Training Samples,400
Test Samples,100
,
Voltage Model - R² Score,0.9703 (97.0%)
Voltage Model - RMSE (V),0.0486
Voltage Model - MAE (V),0.0390
,
Efficiency Model - R² Score,0.9649 (96.5%)
Efficiency Model - RMSE (%),1.987
Efficiency Model - MAE (%),1.595
,
Optimal Temperature (°C),60.00
Optimal Current Density (mA/cm²),800.00
Optimal Voltage (V),1.563
Optimal Efficiency (%),94.68
Optimal H2 Production (mL/min),139.30
,
Analysis Status,COMPLETE ✓
