City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band,Total_Renewable_Power_kW,PV_to_Wind_Ratio,Efficiency_Factor,H2_per_kW,Latitude_Abs
City 1,-11.31,120.29,7.03,8.27,1237.97,11209.71,79.92,194.31,4.15,Equatorial,12447.679999999998,0.11042743947528748,155.292552,0.015610137792745317,11.31
City 2,63.59,86.57,2.73,8.65,483.71,11958.74,70.55,161.78,3.49,Polar,12442.449999999999,0.04044485916917926,114.13579,0.01300226241616402,63.59
City 3,35.16,-128.57,4.11,9.57,711.12,17112.71,74.91,262.47,4.11,Subtropical,17823.829999999998,0.04155264989298054,196.616277,0.014725791258107829,35.16
City 4,17.83,91.23,5.74,3.41,1022.77,731.67,70.91,24.69,2.42,Tropical,1754.44,1.3959490630160918,17.507679,0.014072866555710084,17.83
City 5,-39.72,96.81,4.23,9.71,744.41,16869.46,71.6,243.03,4.1,Subtropical,17613.87,0.04412505645963418,174.00948,0.013797649238923645,39.72
City 6,-39.72,57.07,4.46,6.68,774.84,5929.75,73.83,90.15,3.18,Subtropical,6704.59,0.1306478944484256,66.55774500000001,0.01344601235869755,39.72
City 7,-52.45,95.8,2.65,6.69,464.42,5393.29,71.56,82.95,2.89,Temperate,5857.71,0.08609474092049185,59.35902,0.014160823939730715,52.45
City 8,52.6,124.53,3.61,9.96,635.24,19694.96,79.64,317.09,4.26,Temperate,20330.2,0.03225229945633521,252.530476,0.015596993635084749,52.6
City 9,18.14,40.9,4.38,1.0,751.45,18.3,79.47,11.93,1.69,Tropical,769.75,38.93523316062176,9.480770999999999,0.015498538486521598,18.14
City 10,32.05,-148.1,4.44,2.83,772.96,443.94,73.36,16.13,2.1,Subtropical,1216.9,1.7372229963590597,11.832968,0.013254992193278,32.05
City 11,-57.32,-4.45,2.74,9.29,475.76,14867.84,76.4,229.73,3.81,Temperate,15343.6,0.031997116116657384,175.51372,0.014972366328632133,57.32
City 12,66.09,-152.05,2.69,10.81,468.17,23656.24,75.34,332.16,4.33,Polar,24124.41,0.019789713423882076,250.249344,0.013768626880408683,66.09
City 13,48.22,-33.28,3.64,7.9,645.81,9083.12,78.16,140.25,3.48,Temperate,9728.93,0.07109219164872325,109.61939999999998,0.014415768229394188,48.22
City 14,-32.4,-33.44,4.03,3.29,704.46,683.33,76.27,20.28,2.19,Subtropical,1387.79,1.0294156328087327,15.467556,0.014613161933721962,32.4
City 15,-36.36,-156.24,3.96,5.59,710.82,3268.5,70.0,51.62,2.74,Subtropical,3979.32,0.21740938981495644,36.13399999999999,0.012972065579043655,36.36
City 16,-36.16,-54.42,4.57,8.59,790.03,12258.58,77.63,195.74,3.86,Subtropical,13048.61,0.06444184874196343,151.952962,0.015000831506191081,36.16
City 17,-20.45,-140.04,5.53,7.5,962.93,7604.84,77.47,127.54,3.63,Tropical,8567.77,0.1266040305870226,98.805238,0.01488602051642376,20.45
City 18,8.22,110.96,6.14,4.78,1091.26,1981.52,75.1,42.04,2.88,Equatorial,3072.7799999999997,0.5504408530557069,31.572039999999998,0.013681422034769818,8.22
City 19,-3.85,161.17,6.49,7.28,1138.79,7012.56,79.03,124.41,3.72,Equatorial,8151.35,0.16236975230838546,98.32122299999999,0.015262502530255724,3.85
City 20,-22.14,-153.97,5.8,7.21,1017.42,7053.28,79.08,126.68,3.61,Tropical,8070.7,0.14422733432752882,100.178544,0.01569628408936028,22.14
City 21,19.54,163.84,5.37,4.09,916.33,1338.54,75.24,31.08,2.59,Tropical,2254.87,0.6840631858697762,23.384591999999998,0.013783499713952468,19.54
City 22,-41.87,8.13,4.03,7.49,700.35,8294.27,76.08,131.35,3.4,Subtropical,8994.62,0.08442763165032603,99.93108000000001,0.014603173897285264,41.87
City 23,-22.02,-72.16,6.54,2.69,1130.11,361.89,79.97,22.29,2.44,Tropical,1492.0,3.1141943839731048,17.825312999999998,0.014939678284182306,22.02
City 24,-12.37,-152.33,5.42,4.97,975.93,2346.44,72.99,45.88,2.81,Equatorial,3322.37,0.41574225539310905,33.487812,0.013809419179681976,12.37
City 25,-0.71,0.22,6.02,6.85,1042.71,6283.17,73.25,99.67,3.45,Equatorial,7325.88,0.16592644692934788,73.008275,0.013605191458227544,0.71
City 26,42.07,106.03,4.45,9.92,795.27,18138.16,71.83,254.42,4.2,Subtropical,18933.43,0.04384271377505904,182.74988599999998,0.013437607448835208,42.07
City 27,-34.04,74.55,4.28,10.91,756.14,24432.07,78.96,359.14,4.65,Subtropical,25188.21,0.03094740038808058,283.57694399999997,0.014258258129497887,34.04
City 28,6.85,-161.92,6.36,3.93,1103.12,1154.27,77.44,34.9,2.72,Equatorial,2257.39,0.9548590372813281,27.02656,0.015460332507896288,6.85
City 29,17.01,-153.76,5.42,9.07,950.59,13616.69,71.06,199.25,4.04,Tropical,14567.28,0.06980552501929475,141.58705,0.013677913790357567,17.01
City 30,-53.96,-34.97,3.09,8.91,551.77,12781.42,79.82,202.22,3.76,Temperate,13333.19,0.04316631748917654,161.41200399999997,0.015166663041627696,53.96
City 31,18.98,-73.7,6.47,9.58,1157.16,16079.74,77.31,250.09,4.46,Tropical,17236.9,0.07195937500388665,193.344579,0.01450898943545533,18.98
City 32,-37.83,-96.34,4.75,7.73,815.6,8888.07,78.51,145.34,3.61,Subtropical,9703.67,0.09175313052996546,114.10643400000001,0.014977838281804719,37.83
City 33,-51.54,-78.84,3.82,10.92,662.91,23646.43,70.48,321.43,4.45,Temperate,24309.34,0.028033067441155336,226.54386400000004,0.013222489791989417,51.54
City 34,63.36,109.25,1.86,14.02,321.92,50685.2,75.05,716.61,5.57,Polar,51007.119999999995,0.0063512356420485265,537.815805,0.014049215089971754,63.36
City 35,65.53,154.52,1.84,10.07,313.09,19068.65,76.99,282.43,3.96,Polar,19381.74,0.016418235258643967,217.442857,0.014571963095160703,65.53
City 36,45.09,-34.16,2.42,9.06,426.59,13480.29,75.43,194.61,3.65,Temperate,13906.880000000001,0.03164311427170545,146.79432300000002,0.013993793000299133,45.09
City 37,-20.4,146.2,5.17,9.26,922.61,14607.15,76.67,218.6,4.14,Tropical,15529.76,0.06315721018746386,167.60062000000002,0.014076199503405074,20.4
City 38,-47.3,-64.26,4.17,8.4,724.32,11739.48,78.18,186.24,3.75,Temperate,12463.8,0.06169424078061545,145.60243200000002,0.014942473402975017,47.3
